MovieId,CrewId,Name,Role
127585,9032,Bryan Singer,Director
127585,7200,Lauren Shuler Donner,Producer
127585,9032,Bryan Singer,Producer
127585,11092,Simon Kinberg,Producer
127585,957,Matthew Vaughn,Producer
100402,19272,Joe Russo,Director
100402,19271,Anthony Russo,Director
100402,10850,Kevin Feige,Producer
188161,52139,Seth MacFarlane,Director
188161,52139,Seth MacFarlane,Producer
188161,1089071,Jason Clark,Producer
188161,19282,Scott Stuber,Producer
124905,129894,Gareth Edwards,Director
124905,61091,Jon Jashni,Producer
124905,21036,Roy Lee,Producer
124905,112690,Dan Lin,Producer
124905,574042,Brian Rogers,Producer
124905,54211,Thomas Tull,Producer
102382,87742,Marc Webb,Director
102382,7626,Avi Arad,Producer
102382,977941,Matt Tolmach,Producer
138103,143059,Patrick Hughes,Director
138103,17209,Avi Lerner,Producer
138103,17208,Danny Lerner,Producer
138103,16486,Kevin King Templeton,Producer
138103,22815,John Thompson,Producer
138103,17207,Les Weldon,Producer
102651,12824,Don Hahn,Producer
102651,1032536,Robert Stromberg,Director
157350,17329,Neil Burger,Director
157350,931,Douglas Wick,Producer
157350,19862,Lucy Fisher,Producer
157350,1345249,Pouya Shahbazian,Producer
137113,11694,Doug Liman,Director
137113,119665,Gregory Jacobs,Producer
137113,8702,Jason Hoffs,Producer
137113,53756,Tom Lassally,Producer
137113,20908,Jeffrey Silver,Producer
137113,10950,Erwin Stoff,Producer
195589,52934,Nicholas Stoller,Director
195589,19274,Seth Rogen,Producer
195589,54734,Evan Goldberg,Producer
195589,928595,James Weaver,Producer
82702,12894,Bonnie Arnold,Producer
82702,218134,Chris Sanders,Producer
82702,69797,Dean DeBlois,Director
109445,15774,Chris Buck,Director
109445,61416,Peter Del Vecho,Producer
109445,1120694,Jennifer Lee,Director
232672,57370,Frank Coraci,Director
232672,19292,Adam Sandler,Producer
232672,62159,Mike Karz,Producer
232672,20821,Jack Giarraputo,Producer
118340,15218,James Gunn,Director
118340,10850,Kevin Feige,Producer
136797,293911,Scott Waugh,Director
136797,53176,John Gatins,Producer
136797,34882,Mark Sourian,Producer
136797,1147602,Patrick O’Brien,Producer
212778,15277,Jon Favreau,Director
212778,15277,Jon Favreau,Producer
212778,1040895,Sergei Bespalov,Producer
212778,1291656,Karen Gilchrist,Producer
222935,25046,Marty Bowen,Producer
222935,1056038,Wyck Godfrey,Producer
222935,1053420,Josh Boone,Director
137106,107446,Phil Lord,Director
137106,21036,Roy Lee,Producer
137106,112690,Dan Lin,Producer
137106,155267,Chris Miller,Director
53182,78914,Noam Murro,Director
53182,46088,Mark Canton,Producer
53182,65377,Bernie Goldmann,Producer
53182,11420,Gianni Nunnari,Producer
53182,79243,Deborah Snyder,Producer
53182,15217,Zack Snyder,Producer
53182,54211,Thomas Tull,Producer
86834,6431,Darren Aronofsky,Director
86834,1116091,Scott Franklin,Producer
86834,6431,Darren Aronofsky,Producer
86834,114408,Mary Parent,Producer
86834,376,Arnon Milchan,Producer
157845,61625,Liz Watts,Producer
157845,114334,David Michôd,Director
157845,39454,David Linde,Producer
157845,114334,David Michôd,Producer
144336,19769,David Ayer,Director
144336,72102,Bill Block,Producer
144336,44741,Paul Hanson,Producer
144336,928399,Palak Patel,Producer
144336,1015921,Ethan Smith,Producer
144336,19769,David Ayer,Producer
26973,15389,Louis Malle,Director
144503,1120832,Justin Pemberton,Director
144503,1367062,Richard Driver,Producer
241254,81613,Brian A. Miller,Director
241254,1367059,Fred Song,Producer
241254,1367060,Ho-Sung Pak,Producer
241254,84876,Ho-Sung Pak,Producer
241254,17210,George Furla,Producer
241254,17211,Randall Emmett,Producer
200505,8858,Ivan Reitman,Director
200505,1117879,Ali Bell,Producer
200505,57601,Joe Medjuck,Producer
200505,20743,Gigi Pritzker,Producer
200505,8858,Ivan Reitman,Producer
189,1040898,Alexander Rodnyansky,Producer
189,2294,Robert Rodriguez,Producer
189,2293,Frank Miller,Director
189,2294,Robert Rodriguez,Director
276690,29406,Joey Ansah,Director
126172,1181022,Zach Lipovsky,Director
20352,124747,Pierre Coffin,Director
20352,124748,Chris Renaud,Director
20352,5720,Christopher Meledandri,Producer
20352,65674,Janet Healy,Producer
20352,1011957,John Cohen,Producer
192102,36425,McG,Director
192102,59,Luc Besson,Producer
192102,95322,Adi Hasak,Producer
192102,54419,Ryan Kavanaugh,Producer
192102,56228,Marc Libert,Producer
192102,50950,Virginie Silla,Producer
193610,11151,Nick Cassavetes,Director
193610,63989,Julie Yorn,Producer
184345,1110102,Michael Tiddes,Director
256092,84981,Brian Trenchard-Smith,Director
256092,80683,Pam Collis,Producer
256092,1325840,Paul O'Kane,Producer
252360,23799,Uwe Boll,Director
157834,280,Terry Gilliam,Director
157834,1031200,Nicolas Chartier,Producer
157834,1191105,Dean Zanuck,Producer
225574,59521,Jaume Collet-Serra,Director
225574,587802,Alex Heineman,Producer
225574,62011,Andrew Rona,Producer
225574,1091,Joel Silver,Producer
157353,559,Wally Pfister,Director
157353,1155664,Kate Cohen,Producer
157353,47285,Broderick Johnson,Producer
157353,47286,Andrew A. Kosove,Producer
157353,1155665,Annie Marter,Producer
157353,1155666,Regency Boies,Producer
157353,986291,Marisa Polvino,Producer
157353,1155667,Scott Andrew Robertson,Producer
172385,5714,Carlos Saldanha,Director
